TargetName	GenomeBuild	Run 3 Group 3 19_05_2023 | 001 | Full ROI	Run 3 Group 3 19_05_2023 | 002 | Full ROI	Run 3 Group 3 19_05_2023 | 003 | Full ROI	Run 3 Group 3 19_05_2023 | 004 | Full ROI	Run 3 Group 3 19_05_2023 | 005 | Full ROI	Run 3 Group 3 19_05_2023 | 006 | Full ROI	Run 3 Group 3 19_05_2023 | 007 | Full ROI	Run 3 Group 3 19_05_2023 | 008 | Full ROI	Run 3 Group 3 19_05_2023 | 009 | Full ROI	Run 3 Group 3 19_05_2023 | 010 | Full ROI	Run 3 Group 3 19_05_2023 | 011 | Full ROI	Run 3 Group 3 19_05_2023 | 012 | Full ROI	Run 3 Group 3 19_05_2023 | 013 | Full ROI	Run 3 Group 3 19_05_2023 | 014 | Full ROI	Run 3 Group 3 19_05_2023 | 015 | Full ROI	Run 3 Group 3 19_05_2023 | 016 | Full ROI	Run 3 Group 3 19_05_2023 | 017 | Full ROI	Run 3 Group 3 19_05_2023 | 018 | Full ROI	Run 3 Group 3 19_05_2023 | 019 | Full ROI	Run 3 Group 3 19_05_2023 | 020 | Full ROI	Run 3 Group 3 19_05_2023 | 021 | Full ROI	Run 3 Group 3 19_05_2023 | 022 | Full ROI	Run 3 Group 3 19_05_2023 | 023 | Full ROI	Run 3 Group 3 19_05_2023 | 024 | Full ROI	Run 3 Group 3 19_05_2023 | 025 | Full ROI	Run 3 Group 3 19_05_2023 | 026 | Full ROI	Run 3 Group 3 19_05_2023 | 027 | Full ROI	Run 3 Group 3 19_05_2023 | 028 | Full ROI	C088 and PDC68 | 001 | Full ROI	C088 and PDC68 | 002 | Full ROI	C088 and PDC68 | 003 | Full ROI	C088 and PDC68 | 004 | Full ROI	C088 and PDC68 | 005 | Full ROI	C088 and PDC68 | 006 | Full ROI	C088 and PDC68 | 007 | Full ROI	C088 and PDC68 | 008 | Full ROI	C088 and PDC68 | 009 | Full ROI	C088 and PDC68 | 010 | Full ROI	C088 and PDC68 | 011 | Full ROI	C088 and PDC68 | 012 | Full ROI	C088 and PDC68 | 013 | Full ROI	C088 and PDC68 | 014 | Full ROI	C088 and PDC68 | 015 | Full ROI	C088 and PDC68 | 016 | Full ROI	C088 and PDC68 | 017 | Full ROI	C088 and PDC68 | 018 | Full ROI	C088 and PDC68 | 019 | Full ROI	C088 and PDC68 | 020 | Full ROI	C088 and PDC68 | 021 | Full ROI	C088 and PDC68 | 022 | Full ROI	C088 and PDC68 | 023 | Full ROI	C088 and PDC68 | 024 | Full ROI	C088 and PDC68 | 025 | Full ROI	C088 and PDC68 | 026 | Full ROI	C088 and PDC68 | 027 | Full ROI	C088 and PDC68 | 028 | Full ROI	Slide 8 PDC05 and C041 group A | 001 | Full ROI	Slide 8 PDC05 and C041 group A | 002 | Full ROI	Slide 8 PDC05 and C041 group A | 003 | Full ROI	Slide 8 PDC05 and C041 group A | 004 | Full ROI	Slide 8 PDC05 and C041 group A | 005 | Full ROI	Slide 8 PDC05 and C041 group A | 006 | Full ROI	Slide 8 PDC05 and C041 group A | 007 | Full ROI	Slide 8 PDC05 and C041 group A | 008 | Full ROI	Slide 8 PDC05 and C041 group A | 009 | Full ROI	Slide 8 PDC05 and C041 group A | 010 | Full ROI	Slide 8 PDC05 and C041 group A | 011 | Full ROI	Slide 8 PDC05 and C041 group A | 012 | Full ROI	Slide 8 PDC05 and C041 group A | 013 | Full ROI	Slide 8 PDC05 and C041 group A | 014 | Full ROI	Slide 8 PDC05 and C041 group A | 015 | Full ROI	Slide 8 PDC05 and C041 group A | 016 | Full ROI	Slide 8 PDC05 and C041 group A | 017 | Full ROI	Slide 7 PDC84 and PDC59 group B | 001 | Full ROI	Slide 7 PDC84 and PDC59 group B | 002 | Full ROI	Slide 7 PDC84 and PDC59 group B | 003 | Full ROI	Slide 7 PDC84 and PDC59 group B | 004 | Full ROI	Slide 7 PDC84 and PDC59 group B | 005 | Full ROI	Slide 7 PDC84 and PDC59 group B | 006 | Full ROI	Slide 7 PDC84 and PDC59 group B | 007 | Full ROI	Slide 7 PDC84 and PDC59 group B | 008 | Full ROI	Slide 7 PDC84 and PDC59 group B | 009 | Full ROI	Slide 7 PDC84 and PDC59 group B | 010 | Full ROI	Slide 7 PDC84 and PDC59 group B | 011 | Full ROI	Slide 7 PDC84 and PDC59 group B | 012 | Full ROI	Slide 7 PDC84 and PDC59 group B | 013 | Full ROI	Slide 7 PDC84 and PDC59 group B | 014 | Full ROI	Slide 7 PDC84 and PDC59 group B | 015 | Full ROI	Slide 7 PDC84 and PDC59 group B | 016 | Full ROI	Slide 7 PDC84 and PDC59 group B | 017 | Full ROI	Slide 7 PDC84 and PDC59 group B | 018 | Full ROI	Slide 7 PDC84 and PDC59 group B | 019 | Full ROI	Slide 7 PDC84 and PDC59 group B | 020 | Full ROI	Slide 7 PDC84 and PDC59 group B | 021 | Full ROI	Slide 7 PDC84 and PDC59 group B | 022 | Full ROI
TYW1	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	6	2	1	2	1	2	2	2	1	2	2	1	4	2	3	1	5	1	1	2	3	1	1	1	1	1	1	1	4	1	1	1	2	3	2	3	2	1	3	6	1	2	2	3	1	1	1	1	1	1	1	1	1	1
LPAR6	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	2	2	1	1	1	4	1	1	3	1	4	3	1	1	1	3	1	4	2	1	2	1	1	1	1	2	3	3	1	3	1	3	4	1	2	1	1	2	1	3	1	1	1	1	2	1	1	1	1	1	1	1	1
DOT1L	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	1	1	1	1	1	4	1	1	2	3	7	2	2	3	2	4	2	1	2	1	2	1	1	1	1	1	1	4	3	2	2	5	1	3	2	4	2	2	4	3	2	3	1	1	1	1	1	2	3	1	1	1	2
TTLL9	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	3	2	2	4	1	1	11	2	2	2	3	2	2	1	1	1	5	1	1	1	1	1	1	1	1	1	3	1	2	3	2	1	11	3	1	9	3	1	2	2	1	4	2	1	1	1	1	1	1	3	1	1	1	2
EXD1	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13	5	3	1	6	3	1	4	1	2	5	2	1	6	1	1	4	2	5	1	2	2	2	1	1	1	1	2	2	5	11	5	1	6	2	1	7	6	1	1	7	4	2	1	2	1	2	1	1	1	3	1	1	1	3
DAW1	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	9	2	1	3	3	1	6	1	2	1	4	1	1	3	1	3	3	2	1	5	2	3	1	1	1	1	1	1	1	1	1	1	1	2	1	4	6	3	2	5	2	4	4	1	2	2	1	1	2	1	1	1	1	1
VCAM1	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	5	1	1	4	1	1	5	1	1	3	1	1	1	1	1	3	2	5	1	2	1	5	1	1	1	1	2	2	3	2	1	3	4	3	4	3	5	2	1	4	1	4	5	2	1	1	2	1	1	2	2	1	2	1
UBE4B	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	2	1	2	1	1	4	4	1	3	1	1	8	2	5	4	3	4	2	1	5	4	1	1	1	1	10	2	6	10	3	1	5	3	2	2	2	3	6	2	2	4	3	1	1	2	2	1	1	2	1	1	2	6
OXR1	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	3	1	1	2	1	1	5	2	1	3	5	1	1	2	2	2	1	4	1	1	1	2	1	1	1	1	21	11	35	4	1	1	5	5	1	4	2	1	3	5	1	2	3	2	1	2	2	1	3	2	1	3	2	2
MEIS1	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	5	1	3	3	1	3	4	1	3	1	1	1	3	1	2	5	2	3	2	2	2	1	1	1	1	2	4	1	5	1	1	7	2	2	7	3	1	2	1	5	3	1	1	1	1	1	3	2	1	1	1	2	2
SLC2A4RG	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	6	1	1	5	1	1	7	5	1	4	3	1	2	1	2	2	3	5	1	2	4	2	1	1	1	1	5	3	8	10	3	2	6	5	1	6	2	4	4	3	1	6	1	3	2	1	1	2	2	4	1	1	2	1
TRAF3IP1	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	1	4	1	1	1	2	3	2	2	3	2	1	1	1	3	1	1	1	4	4	1	1	1	1	4	1	4	5	2	1	10	3	4	9	2	3	3	1	2	3	2	4	2	4	1	4	6	8	2	1	10	4
NADSYN1	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	3	1	4	1	1	3	2	2	1	1	1	1	1	1	1	3	1	3	1	1	1	1	1	1	1	2	1	1	1	1	3	1	5	1	1	3	1	1	2	1	4	2	1	1	1	1	1	6	2	1	1	1	3
TRAPPC1	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	3	4	1	4	2	1	5	1	1	5	1	1	2	1	3	1	4	4	1	3	4	1	1	1	1	1	10	1	8	4	3	1	3	8	7	5	8	3	3	3	3	7	2	1	2	3	2	2	4	6	1	1	1	2
PHB	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	4	2	1	8	1	2	5	6	3	1	1	1	8	5	3	2	2	2	3	1	3	2	1	1	1	1	7	1	11	3	3	3	5	6	1	5	5	1	3	6	2	4	2	2	1	1	1	2	1	2	1	1	2	1
HTR3D	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	3	2	1	2	3	2	4	1	1	1	1	1	1	1	1	4	1	3	3	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2
GNG5	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	7	1	1	3	1	2	6	1	1	2	1	1	2	1	1	1	4	2	1	3	2	1	1	1	1	1	2	1	4	4	3	2	1	3	4	3	3	2	2	6	3	3	2	4	2	1	1	1	1	1	2	1	3	1
TP53INP1	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	4	1	2	3	2	4	1	4	2	5	2	1	1	5	4	2	2	1	1	1	1	1	4	1	1	1	2	1
DNAI2	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	4	1	3	2	2	3	1	1	3	5	1	1	1	2	1	1	2	1	1	2	1
CRYBG2	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	1	2	3	1	2	2	1	2	3	1	1	1	1	1	2	4	1	1	2	1	1	1	1	1	1	2	1	3	1	1	1	4	3	1	2	3	1	6	1	1	2	4	1	1	2	1	2	3	1	1	1	1	1
FSIP2	GRCh38.p13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	2	1	3	1	1	2	1	1	2	1	1	1	2	1	1	2	6	2	1	1	1	1	4	2	1	2	1	1	4	3	2	1	2	1	1	6	2	1	2	1	1	1	1	1	1	3	1	2	1	1
OR6K3		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	4	3	1	3	1	1	1	1	1	3	2	1	1	1	1	4	2	1	1	1	1	1	1	1	1	1	3	1	1	1	5	1	5	3	3	3	5	2	5	1	2	1	1	1	1	3	1	1	1	1	1
