DND configuration file_SampleID,FASTQ_sampleID
DSP-1001660012566-B-A01,IGF127014
DSP-1001660012566-B-A02,IGF127015
DSP-1001660012566-B-A03,IGF127016
DSP-1001660012566-B-A04,IGF127017
DSP-1001660012566-B-A05,IGF127018
DSP-1001660012566-B-A06,IGF127019
DSP-1001660012566-B-A07,IGF127020
DSP-1001660012566-B-A08,IGF127021
DSP-1001660012566-B-A09,IGF127022
DSP-1001660012566-B-A10,IGF127023
DSP-1001660012566-B-A11,IGF127024
DSP-1001660012566-B-A12,IGF127025
DSP-1001660012566-B-B01,IGF127026
DSP-1001660012566-B-B02,IGF127027
DSP-1001660012566-B-B03,IGF127028
DSP-1001660012566-B-B04,IGF127029
DSP-1001660012566-B-B05,IGF127030
DSP-1001660012566-B-B06,IGF127031
DSP-1001660012566-B-B07,IGF127032
DSP-1001660012566-B-B08,IGF127033
DSP-1001660012566-B-B09,IGF127034
DSP-1001660012566-B-B10,IGF127035
DSP-1001660012566-B-B11,IGF127036
DSP-1001660012566-B-B12,IGF127037
DSP-1001660012566-B-C01,IGF127038
DSP-1001660012566-B-C02,IGF127039
DSP-1001660012566-B-C03,IGF127040
DSP-1001660012566-B-C04,IGF127041
DSP-1001660012566-B-C05,IGF127042
DSP-1001660012566-B-C06,IGF127043
DSP-1001660012566-B-C07,IGF127044
DSP-1001660012566-B-C08,IGF127045
DSP-1001660012566-B-C09,IGF127046
DSP-1001660012566-B-C10,IGF127047
DSP-1001660012566-B-C11,IGF127048
DSP-1001660012566-B-C12,IGF127049
DSP-1001660012566-B-D01,IGF127050
DSP-1001660012566-B-D02,IGF127051
DSP-1001660012566-B-D03,IGF127052
DSP-1001660012566-B-D04,IGF127053
DSP-1001660012566-B-D05,IGF127054
DSP-1001660012566-B-D06,IGF127055
DSP-1001660012566-B-D07,IGF127056
DSP-1001660012566-B-D08,IGF127057
DSP-1001660012566-B-D09,IGF127058
DSP-1001660012566-B-D10,IGF127059
DSP-1001660012566-B-D11,IGF127060
DSP-1001660012566-B-D12,IGF127061
DSP-1001660012566-B-E01,IGF127062
DSP-1001660012566-B-E02,IGF127063
DSP-1001660012566-B-E03,IGF127064
DSP-1001660012566-B-E04,IGF127065
DSP-1001660012566-B-E05,IGF127066
DSP-1001660012566-B-E06,IGF127067
DSP-1001660012566-B-E07,IGF127068
DSP-1001660012566-B-E08,IGF127069
DSP-1001660012566-B-E09,IGF127070
DSP-1001660012566-B-E10,IGF127071
DSP-1001660012566-B-E11,IGF127072
DSP-1001660012566-B-E12,IGF127073
DSP-1001660012566-B-F01,IGF127074
DSP-1001660012566-B-F02,IGF127075
DSP-1001660012566-B-F03,IGF127076
DSP-1001660012566-B-F04,IGF127077
DSP-1001660012566-B-F05,IGF127078
DSP-1001660012566-B-F06,IGF127079
DSP-1001660012566-B-F07,IGF127080
DSP-1001660012566-B-F08,IGF127081
DSP-1001660012566-B-F09,IGF127082
DSP-1001660012566-B-F10,IGF127083
DSP-1001660012566-B-F11,IGF127084
DSP-1001660012566-B-F12,IGF127085
DSP-1001660012566-B-G01,IGF127086
DSP-1001660012566-B-G02,IGF127087
DSP-1001660012566-B-G03,IGF127088
DSP-1001660012566-B-G04,IGF127089
DSP-1001660012566-B-G05,IGF127090
DSP-1001660012566-B-G06,IGF127091
DSP-1001660012566-B-G07,IGF127092
DSP-1001660012566-B-G08,IGF127093
DSP-1001660012566-B-G09,IGF127094
DSP-1001660012566-B-G10,IGF127095
DSP-1001660012566-B-G11,IGF127096
DSP-1001660012566-B-G12,IGF127097
DSP-1001660012566-B-H01,IGF127098
DSP-1001660012566-B-H02,IGF127099
DSP-1001660012566-B-H03,IGF127100
DSP-1001660012566-B-H04,IGF127101
DSP-1001660012566-B-H05,IGF127102
DSP-1001660012566-B-H06,IGF127103
DSP-1001660012566-B-H07,IGF127104
DSP-1001660012566-B-H08,IGF127105
DSP-1001660012566-B-H09,IGF127106
DSP-1001660012566-B-H10,IGF127107
DSP-1001660012566-B-H11,IGF127108
DSP-1001660012566-B-H12,IGF127109
