ProbeName	ProbeDisplayName	TargetName	HUGOSymbol	Accessions	GenomeBuild	GenomicPosition	AnalyteType	CodeClass	ProbePool	TargetGroup	GeneID
46413	TYW1_01	TYW1	TYW1	"XR_001744831.2,XM_017012392.2,XM_011516372.3,XR_002956462.1,XR_001744832.2,XR_001744833.2,NM_018264.4,XR_001744834.2,NR_134540.1"	GRCh38.p13	chr7:66998867-66998916	RNA	Endogenous	01	All Targets	55253
43354	LPAR6_01	LPAR6	LPAR6	"NM_005767.7,NM_001162498.3,XM_024449302.1,NM_001377317.2,NM_001377316.2,NM_001162497.3"	GRCh38.p13	chr13:48411965-48412014	RNA	Endogenous	01	All Targets	10161
48542	DOT1L_01	DOT1L	DOT1L	"XM_017027366.1,XM_005259660.3,XM_011528360.1,XM_011528359.2,XM_011528361.2,NM_032482.3,XM_005259659.3"	GRCh38.p13	chr19:2222276-2222317	RNA	Endogenous	01	All Targets	84444
36887	TTLL9_01	TTLL9	TTLL9	"NR_148013.2,NR_160277.1,NR_148012.2,NR_148011.2,NM_001008409.4,NM_001367620.1,NR_160276.1,NR_148014.2,NR_148010.2,NR_134519.3"	GRCh38.p13	chr20:31923015-31925019	RNA	Endogenous	01	All Targets	164395
50044	EXD1_01	EXD1	EXD1	"XM_011521300.2,NM_001385036.1,XM_006720415.3,NM_001286441.2,XM_011521302.2,NM_152596.4,XM_011521301.2,XM_017021971.1,XM_011521299.2,XM_017021970.1,XM_011521298.2"	GRCh38.p13	chr15:41183945-41183994	RNA	Endogenous	01	All Targets	161829
50848	DAW1_01	DAW1	DAW1	"NR_138459.1,XM_017003490.1,NM_178821.3,NM_001330004.1"	GRCh38.p13	chr2:227898229-227898275	RNA	Endogenous	01	All Targets	164781
34522	VCAM1_01	VCAM1	VCAM1	"NM_001199834.1,NM_001078.4,NM_080682.2"	GRCh38.p13	chr1:100732426-100732462	RNA	Endogenous	01	All Targets	7412
43525	UBE4B_01	UBE4B	UBE4B	"NM_006048.5,NM_001105562.3,XM_011540488.3,XR_946516.3,XM_011540489.3,XM_011540490.2,XM_017000036.2,XR_001736907.2,XM_017000035.2,XM_005263422.2"	GRCh38.p13	chr1:10117547-10117596	RNA	Endogenous	01	All Targets	10277
39729	OXR1_01	OXR1	OXR1	"XM_017013595.2,XM_017013590.1,NM_001198533.2,XR_001745548.1,XM_017013591.1,XM_017013592.1,XM_017013594.2,NM_001198532.1,XM_017013596.1,XM_017013597.1,XM_006716595.2,NM_181354.4,XM_017013600.2,XR_001745546.1,XM_017013593.2,XM_017013598.2,NM_001198535.1,NM_001198534.1,XM_017013599.2,XM_017013589.2,NM_018002.3"	GRCh38.p13	chr8:106739529-106739578	RNA	Endogenous	01	All Targets	55074
41292	MEIS1_01	MEIS1	MEIS1	NM_002398.3	GRCh38.p13	chr2:66571654-66571703	RNA	Endogenous	01	All Targets	4211
46735	SLC2A4RG_01	SLC2A4RG	SLC2A4RG	NM_020062.4	GRCh38.p13	chr20:63743377-63743426	RNA	Endogenous	01	All Targets	56731
35370	TRAF3IP1_01	TRAF3IP1	TRAF3IP1	"XM_011510950.2,NM_001139490.1,XM_011510945.2,XM_011510944.2,XR_922902.2,XM_006712414.2,XM_017003789.1,XM_011510947.2,XM_011510948.2,NM_015650.4,XM_011510946.2,XR_001738697.1,XR_001738696.1"	GRCh38.p13	chr2:238397465-238397499	RNA	Endogenous	01	All Targets	26146
12646	NADSYN1_01	NADSYN1	NADSYN1	NM_018161.5	GRCh38.p13	chr11:71498378-71498412	RNA	Endogenous	01	All Targets	55191
47224	TRAPPC1_01	TRAPPC1	TRAPPC1	"NM_001166621.1,NM_021210.5,NR_030697.1,NR_030684.2"	GRCh38.p13	chr17:7931032-7931071	RNA	Endogenous	01	All Targets	58485
34524	PHB_01	PHB	PHB	"NM_002634.4,NM_001281497.1,NM_001281496.1,NM_001281715.1,XM_017024763.1"	GRCh38.p13	chr17:49409415-49409449	RNA	Endogenous	01	All Targets	5245
51003	HTR3D_01	HTR3D	HTR3D	"NM_001145143.1,NM_001163646.2,NM_182537.3,XM_017005854.1"	GRCh38.p13	chr3:184038991-184039040	RNA	Endogenous	01	All Targets	200909
43046	GNG5_01	GNG5	GNG5	NM_005274.3	GRCh38.p13	chr1:84506085-84506120	RNA	Endogenous	01	All Targets	2787
48836	TP53INP1_01	TP53INP1	TP53INP1	"NM_001135733.2,NM_033285.4,XM_011517386.2"	GRCh38.p13	chr8:94930546-94930595	RNA	Endogenous	01	All Targets	94241
47595	DNAI2_01	DNAI2	DNAI2	"NM_001172810.3,XM_024450874.1,NM_001353167.2,XM_024450883.1,XM_024450875.1,XM_024450882.1,NM_023036.6,XM_024450878.1,XM_024450886.1,XM_011525125.2,XM_024450876.1,XM_024450877.1,XM_024450881.1,XM_024450880.1,XM_024450885.1,NR_148379.2,XM_024450884.1"	GRCh38.p13	chr17:74314702-74314751	RNA	Endogenous	01	All Targets	64446
37615	CRYBG2_01	CRYBG2	CRYBG2	"XR_946681.1,XM_011541673.2,XR_001737260.1,XM_011541672.1,XM_005245918.2,NM_001039775.3"	GRCh38.p13	chr1:26342865-26343067	RNA	Endogenous	01	All Targets	55057
50516	FSIP2_01	FSIP2	FSIP2	"NM_173651.4,XM_024452886.1"	GRCh38.p13	chr2:185746695-185746741	RNA	Endogenous	01	All Targets	401024
36729	OR6K3_01	OR6K3	OR6K3	NM_001005327.3			RNA	Endogenous	01	All Targets	391114
51039	DDX53_01	DDX53	DDX53	NM_182699.4	GRCh38.p13	chrX:23000905-23000950	RNA	Endogenous	01	All Targets	168400
36367	RAET1G_01	RAET1G	RAET1G	"XM_011535800.3,NM_001001788.4,NR_130110.2,XM_017010831.2"	GRCh38.p13	chr6:149923018-149923053	RNA	Endogenous	01	All Targets	353091
51174	WDR86_01	WDR86	WDR86	"XM_005249989.4,NM_001284262.1,XM_011516150.1,NM_001284261.2,NM_001284260.2,NM_198285.3,XM_011516148.1"	GRCh38.p13	chr7:151381154-151381203	RNA	Endogenous	01	All Targets	349136
43073	GPT_01	GPT	GPT	"NR_168477.1,NM_001382664.1,NM_001382665.1,NR_168476.1,NM_005309.3"	GRCh38.p13	chr8:144504665-144504776	RNA	Endogenous	01	All Targets	2875
49775	SPANXA2_01	SPANXA2	"SPANXB1,SPANXA1,SPANXA2"	"NM_013453.3,NM_145662.4,NM_032461.4"	GRCh38.p13	"chrX:141590521-141590570,chrX:141583876-141583925,chrX:141003465-141003514"	RNA	Endogenous	01	All Targets	728695
37682	FABP6_01	FABP6	FABP6	"NM_001040442.1,NM_001445.3,NM_001130958.2"	GRCh38.p13	chr5:160232235-160232273	RNA	Endogenous	01	All Targets	2172
48458	SLC37A3_01	SLC37A3	SLC37A3	"NR_156490.1,NM_207113.3,NM_001363374.1,NM_032295.3,NR_156491.1,NM_001363376.1,NM_001363373.1,NR_156492.1,NM_001363378.1,NM_001287498.1,NR_156489.1,NM_001363377.1,NM_001363375.1"	GRCh38.p13	chr7:140335372-140335419	RNA	Endogenous	01	All Targets	84255
35548	TTF2_01	TTF2	TTF2	"NM_003594.4,XM_017002553.2,XR_001737489.2,XR_002957811.1,XM_017002555.2,XR_002957810.1,XM_017002550.2,XM_017002554.2,XM_017002551.2,XM_011542303.3,XM_005271277.4,XR_001737490.2,XM_017002552.2,XR_002957812.1"	GRCh38.p13	chr1:117060463-117060502	RNA	Endogenous	01	All Targets	8458
44839	RAB26_01	RAB26	RAB26	"XM_011522450.2,XM_011522448.1,NM_014353.5,NM_001308053.1"	GRCh38.p13	chr16:2153526-2153575	RNA	Endogenous	01	All Targets	25837
40987	DLAT_01	DLAT	DLAT	"NM_001372042.1,NM_001931.5,NM_001372031.1,NM_001372034.1,NM_001372035.1,NM_001372032.1,NM_001372041.1,NM_001372033.1,NM_001372036.1,NM_001372040.1,NM_001372037.1,NM_001372038.1,NR_164072.1,NM_001372039.1"	GRCh38.p13	chr11:112043472-112043521	RNA	Endogenous	01	All Targets	1737
35319	PSPC1_01	PSPC1	PSPC1	"NR_156729.2,NM_001042414.3,XM_011535137.2,XM_011535141.3,NR_003272.4,NM_001363660.2,XM_011535138.3,XM_011535142.3,XM_011535139.2,NR_149052.1,NR_044998.2,XR_941617.2,NR_149053.1,NM_001354908.2,NM_001354909.2"	GRCh38.p13	chr13:19751432-19751467	RNA	Endogenous	01	All Targets	55269
47437	LIN7B_01	LIN7B	LIN7B	"XM_006723323.3,XM_017027131.2,NM_001308419.2,XR_243950.3,NM_022165.3"	GRCh38.p13	chr19:49117961-49117995	RNA	Endogenous	01	All Targets	64130
36821	ATN1_01	ATN1	ATN1	"NM_001007026.2,NM_001940.4"	GRCh38.p13	chr12:6938593-6938632	RNA	Endogenous	01	All Targets	1822
40425	SH2B3_01	SH2B3	SH2B3	"XM_005253818.4,XR_001748535.1,XM_011537719.2,XR_002957278.1,NM_001291424.1,XM_024448790.1,XM_006719180.4,XR_001748536.1,NM_005475.3,XM_011537720.3,XM_005253819.4,XM_011537721.3"	GRCh38.p13	chr12:111446803-111446848	RNA	Endogenous	01	All Targets	10019
51575	ADAMTSL5_01	ADAMTSL5	ADAMTSL5	"XM_017026744.1,XM_011527963.1,NM_213604.3,XM_011527961.1,NM_001367197.1,XM_017026745.1"	GRCh38.p13	chr19:1507628-1508022	RNA	Endogenous	01	All Targets	339366
12090	GPR42_01	GPR42	"FFAR3,GPR42"	"NM_001348195.1,NM_005304.5"	GRCh38.p13	"chr19:35358626-35358890,chr19:35371095-35371359"	RNA	Endogenous	01	All Targets	2865
36250	P4HA1_01	P4HA1	P4HA1	"NM_001017962.2,NM_000917.3,NM_001142596.1,NM_001142595.1"	GRCh38.p13	chr10:73053435-73053484	RNA	Endogenous	01	All Targets	5033
50428	COL23A1_01	COL23A1	COL23A1	"XM_006714933.3,XM_011534692.2,XM_006714934.3,XM_011534688.2,XM_006714935.3,XM_011534689.2,XM_011534691.2,XM_011534690.2,NM_173465.4,XM_006714936.3"	GRCh38.p13	chr5:178237654-178237703	RNA	Endogenous	01	All Targets	91522
